"","product_name","product_price","New_Collection","Discount"
"1","KAPPA Men Solid Sweatshirt","1,359","New","20% OFF"
"2","ARROW SPORT Men Typographic Printed Ankle-Length Joggers","1,299","New","50% OFF"
"3","KAPPA Regular Fit Melange Textured V-Neck T-shirt","449","New","10% OFF"
"4","KAPPA Men Solid Casual Shorts","849","New","15% OFF"
"5","VAN HEUSEN Men Striped Polo T-shirt","999","New","56% OFF"
"6","KAPPA Men Solid Short Sleeves Polo T-shirt","629","New","10% OFF"
"7","KAPPA Men Typographic Printed Hooded Neck Regular Fit Sports T-shirt","934","New","15% OFF"
"8","GINGER Women Striped Round Neck Sweater","999","New","50% OFF"
"9","KAPPA Women Ombre Hooded Sporty Jacket","1,359","New","15% OFF"
"10","GINGER Women Printed Sleeveless Jumpsuit","1,199","New","40% OFF"
"11","KAPPA Men Elasticated Track Pants","1,139","New","40% OFF"
"12","KAPPA Men Solid Sports Polo T-shirt","909","New","30% OFF"
"13","BOSSINI Men Striped Drawstring Waist Joggers","1,189","New","30% OFF"
"14","KAPPA Men Solid Elasticated Trackpants","899","New","10% OFF"
"15","KAPPA Men Textured Quarter-Zip Relaxed Fit Sweatshirt","1,359","New","15% OFF"
"16","GINGER Women Sequinned Sleeveless Playsuit","1,149","New","50% OFF"
"17","CODE Men Textured Full Sleeves Sweater","1,199","New","20% OFF"
"18","FAME FOREVER Men Striped Full Sleeve Zip-Closure Sweater","1,359","New","20% OFF"
"19","ALLEN SOLLY Women Textured Full Sleeves Button Closure Cardigan","1,439","New","20% OFF"
"20","KAPPA Women Ombre Hooded Sports Jacket","1,359","New","15% OFF"
"21","CODE Men Printed Slim Fit Formal Shirt","749","New","50% OFF"
"22","CODE Women Checked Puffed Sleeve Crop Jacket","1,469",NA,"30% OFF"
"23","CODE Women Tie-Up Sweater","849",NA,"50% OFF"
"24","CODE Women Solid Off-Shoulder Neck Tiered Dress","1,049",NA,"50% OFF"
"25","KAPPA Men Solid Drawstring Waist Shorts","849",NA,"15% OFF"
"26","KAPPA Men Solid Slim Fit Sports Polo T-shirt","909",NA,"30% OFF"
"27","CODE Men Checked Slim Fit Formal Shirt","779",NA,"40% OFF"
"28","GINGER Women Shimmery Textured Cropped Jumpsuit","1,299",NA,"50% OFF"
"29","KAPPA Men Solid Crew Neck T-shirt - Set of 2","849",NA,"15% OFF"
"30","CODE Men Solid Full Sleeves Formal Shirt","1,019",NA,"40% OFF"
"31","GINGER Women Printed Round Neck T-shirt","299",NA,"50% OFF"
"32","KAPPA Men Solid Side Detailed Slim Fit Joggers","1,274",NA,"15% OFF"
"33","KAPPA Men Solid Slim Fit Joggers","1,444",NA,"15% OFF"
"34","KAPPA Solid Polo Neck T-Shirt","629",NA,"10% OFF"
"35","KAPPA Men Printed Joggers","1,444",NA,"15% OFF"
"36","BOSSINI Men Solid Pullover Sweater","1,199",NA,"20% OFF"
"37","KAPPA Men Solid Slim Fit Sports Polo T-shirt","909",NA,"30% OFF"
"38","ARROW SPORT Men Solid Elasticated Track Pants","1,299",NA,"50% OFF"
"39","KAPPA Pocketed Jogger Trackpants","899",NA,"10% OFF"
"40","CODE Men Printed Slim Fit Formal Shirt","749",NA,"50% OFF"
"41","KAPPA Men Solid Elasticated Trackpants","899",NA,"10% OFF"
"42","FAME FOREVER Men Solid Sweater","799",NA,"20% OFF"
"43","CODE Men Printed Slim Fit Formal Shirt","749",NA,"50% OFF"
"44","CODE Men Solid Regular Fit Formal Shirt","849",NA,"50% OFF"
"45","LEVI'S Regular Fit Classic Logo Print Crew-Neck T-shirt","934",NA,"15% OFF"
"46","KAPPA Men Solid Elasticated Track Pants","849",NA,"15% OFF"
"47","KAPPA Men Printed Regular Fit Sports Polo T-shirt","849",NA,"15% OFF"
"48","FAME FOREVER Men Solid Slim Tapered Chinos","899",NA,"10% OFF"
